                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9745,                  3.569,                  3.281,                0.24525,                 0.1213,                0.05225,                0.01944,                 3.2297,                 2.2325,                 2.1994,             0.00033188,             0.00033188,             0.00033188
                      2,                 2.7793,                 1.9685,                  1.783,                0.27704,                0.22698,                0.12706,                0.05705,                 2.3128,                 1.7323,                 1.6238,             0.00064463,             0.00064463,             0.00064463
                      3,                 2.3163,                 1.7151,                 1.5421,                0.70841,                0.22636,                0.22608,                 0.1064,                 2.0528,                 1.4803,                 1.4516,             0.00093676,             0.00093676,             0.00093676
                      4,                 2.1184,                 1.5762,                 1.4138,                0.38371,                0.31191,                0.25132,                0.12661,                 1.9535,                 1.4492,                 1.3863,             0.00090719,             0.00090719,             0.00090719
                      5,                 2.0096,                 1.4936,                  1.346,                0.22379,                0.35813,                0.28191,                0.14364,                 1.8451,                 1.4082,                 1.3089,             0.00087625,             0.00087625,             0.00087625
                      6,                 1.9267,                 1.4399,                  1.296,                0.30007,                0.36668,                0.31176,                0.16411,                 1.7844,                   1.33,                 1.2803,             0.00084531,             0.00084531,             0.00084531
                      7,                 1.8888,                 1.3948,                  1.274,                0.51188,                0.36374,                 0.3175,                0.16528,                 1.7461,                 1.4463,                 1.2597,             0.00081437,             0.00081437,             0.00081437
                      8,                 1.8448,                 1.3712,                 1.2448,                 0.5116,                0.39909,                0.34007,                0.17897,                  1.715,                 1.3012,                 1.2265,             0.00078344,             0.00078344,             0.00078344
                      9,                 1.8169,                 1.3416,                 1.2234,                0.33624,                0.43177,                0.38922,                0.21051,                 1.6894,                 1.2024,                 1.2083,              0.0007525,              0.0007525,              0.0007525
                     10,                 1.8097,                 1.3362,                 1.2063,                0.43954,                0.42714,                0.40156,                0.21392,                 1.7281,                 1.2436,                 1.2013,             0.00072156,             0.00072156,             0.00072156
                     11,                 1.7842,                 1.3112,                 1.1857,                0.65411,                 0.4106,                0.44284,                0.24424,                 1.6545,                 1.1653,                 1.1717,             0.00069063,             0.00069063,             0.00069063
                     12,                 1.7539,                 1.2817,                 1.1677,                0.40179,                0.44214,                0.42347,                0.23247,                 1.6402,                 1.2304,                 1.1609,             0.00065969,             0.00065969,             0.00065969
                     13,                 1.7375,                 1.2606,                 1.1569,                0.46947,                0.45361,                0.46956,                0.25927,                 1.6323,                 1.1337,                 1.1508,             0.00062875,             0.00062875,             0.00062875
                     14,                 1.7228,                 1.2408,                 1.1492,                0.54528,                0.48187,                0.46417,                0.25723,                 1.6271,                 1.1896,                 1.1513,             0.00059781,             0.00059781,             0.00059781
                     15,                 1.7147,                 1.2203,                 1.1404,                0.45736,                0.51732,                0.44245,                 0.2482,                 1.6103,                 1.2294,                  1.137,             0.00056687,             0.00056687,             0.00056687
                     16,                 1.7062,                 1.2196,                 1.1365,                0.47711,                0.41928,                0.44452,                0.24473,                 1.6326,                 1.1576,                 1.1397,             0.00053594,             0.00053594,             0.00053594
                     17,                 1.6861,                 1.1943,                 1.1274,                0.65327,                0.44695,                0.45837,                 0.2562,                 1.5941,                 1.1459,                 1.1231,               0.000505,               0.000505,               0.000505
                     18,                  1.703,                  1.198,                 1.1268,                0.62294,                0.45226,                 0.4369,                0.23873,                 1.6167,                 1.2043,                 1.1323,             0.00047406,             0.00047406,             0.00047406
