                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8017,                 3.4316,                 3.1616,                 0.0893,                0.14139,                0.07236,                0.02881,                 3.0588,                 2.1767,                 2.0423,             0.00033203,             0.00033203,             0.00033203
                      2,                 2.7278,                 1.9029,                 1.7495,                0.31326,                0.22841,                 0.1428,                0.06332,                 2.2852,                 1.7088,                 1.5973,             0.00062145,             0.00062145,             0.00062145
                      3,                 2.2764,                 1.6271,                  1.519,                0.41032,                0.28294,                0.24415,                0.11966,                 2.0246,                 1.4381,                 1.4446,             0.00086687,             0.00086687,             0.00086687
                      4,                 2.0963,                 1.5118,                 1.4036,                0.47324,                0.29172,                0.28611,                0.14249,                 1.9315,                 1.3843,                 1.3533,               0.000802,               0.000802,               0.000802
                      5,                 2.0128,                 1.4448,                 1.3466,                0.46581,                 0.2979,                0.28321,                0.14768,                  1.831,                 1.3912,                 1.3111,               0.000736,               0.000736,               0.000736
                      6,                 1.8772,                 1.4446,                 1.3358,                0.50225,                0.30193,                0.31898,                0.16989,                 1.7891,                 1.3663,                  1.264,                0.00067,                0.00067,                0.00067
                      7,                 1.8312,                 1.3863,                 1.2949,                0.39614,                0.35669,                0.38732,                0.20636,                 1.7426,                 1.2411,                 1.2345,               0.000604,               0.000604,               0.000604
                      8,                 1.7948,                 1.3296,                 1.2715,                0.36863,                0.33841,                0.35728,                0.19263,                 1.7314,                 1.2466,                 1.2253,               0.000538,               0.000538,               0.000538
                      9,                 1.7721,                 1.3042,                 1.2526,                0.49123,                0.35128,                0.38999,                0.21143,                 1.7106,                 1.2047,                 1.2133,               0.000472,               0.000472,               0.000472
                     10,                 1.7468,                 1.2581,                 1.2401,                0.55651,                 0.3749,                0.41738,                0.22967,                  1.681,                 1.1771,                 1.1896,               0.000406,               0.000406,               0.000406
                     11,                 1.7305,                 1.2436,                  1.223,                0.59742,                0.36649,                0.41541,                 0.2257,                 1.6713,                 1.1624,                 1.1796,                0.00034,                0.00034,                0.00034
                     12,                 1.7106,                 1.2087,                 1.2164,                0.55564,                0.38069,                0.42994,                 0.2393,                 1.6498,                 1.1072,                 1.1741,               0.000274,               0.000274,               0.000274
                     13,                 1.6996,                 1.1753,                 1.2049,                0.39294,                0.41955,                0.39501,                0.21967,                 1.6555,                 1.2105,                 1.1721,               0.000208,               0.000208,               0.000208
                     14,                 1.6887,                  1.165,                 1.1991,                0.52917,                0.44405,                0.46909,                0.26292,                 1.6221,                 1.0647,                 1.1583,               0.000142,               0.000142,               0.000142
                     15,                  1.682,                 1.1403,                 1.1921,                0.56242,                0.43977,                0.47278,                0.26634,                 1.6096,                 1.0379,                 1.1511,                7.6e-05,                7.6e-05,                7.6e-05
